problem,dim,algorithm,runs,best,median,mean,std,worst,mean_error,success_rate,median_evals_to_target,mean_evaluations,mean_seconds
levy_10d,10,Random,30,3.757118382410212,9.063840203139314,8.809251716785475,2.0772748404101145,12.853116046652888,8.809251716785475,0.0,nan,30000.0,0.023024228666630127
michalewicz_10d,10,CDA,30,-6.824355465735151,-5.154534055536313,-5.269377299216296,0.6604621616377546,-4.203335988125833,4.390774400783704,0.0,nan,603.6666666666666,0.0020629373332364293
michalewicz_10d,10,CDA (tuned),30,-8.859592719310887,-7.773588041673909,-7.744725225856573,0.394519593108914,-6.92165149378196,1.9154264741434277,0.0,nan,30000.0,0.05389788343333445
michalewicz_10d,10,DE,30,-9.066769225446508,-8.275968063589108,-8.278432085668745,0.49372610028192837,-7.221179638680106,1.381719614331254,0.0,nan,30000.0,0.0511594689667921
michalewicz_10d,10,GA,30,-9.66007116727254,-9.616871302621655,-9.580448499707135,0.11232449350754084,-9.18871769618202,0.07970320029286568,0.06666666666666667,25600.0,30000.0,0.049219242966622306
michalewicz_10d,10,PSO,30,-9.555654200158571,-8.482227259273941,-8.353171640489634,0.7379266778903355,-6.886671185214721,1.3069800595103662,0.0,nan,30000.0,0.032745085033275244
michalewicz_10d,10,Random,30,-5.46914651369967,-5.03596104905637,-5.022460820555202,0.25854349819725514,-4.540527480527248,4.637690879444798,0.0,nan,30000.0,0.024678216466691084
michalewicz_2d,2,CDA,30,-1.8013034099346317,-1.8012763419840092,-1.7985551218059386,0.008085921474806477,-1.7609436427872875,0.002748288294061596,0.7,397.0,483.8333333333333,0.001279427166506745
michalewicz_2d,2,CDA (tuned),30,-1.8013000230319585,-1.8012560041008898,-1.801225540790849,9.245938899046418e-05,-1.8008548994467062,7.78693091511166e-05,0.7333333333333333,2973.0,10000.0,0.012767402833439216
michalewicz_2d,2,DE,30,-1.8013034100985537,-1.8013034100985537,-1.801303410098554,4.516810283266961e-16,-1.8013034100985537,1.446398556481654e-12,1.0,1150.0,10000.0,0.013709457799996017
michalewicz_2d,2,GA,30,-1.8013034100985537,-1.8013034100985534,-1.8012984211484968,2.7213107147852136e-05,-1.8011543383463693,4.988951503552089e-06,0.9666666666666667,450.0,10000.0,0.011898370700055238
michalewicz_2d,2,PSO,30,-1.8013034100985537,-1.8013034100985537,-1.801303410098554,5.376079560542894e-16,-1.8013034100985534,1.4464725713499622e-12,1.0,1325.0,10000.0,0.007538743400042828
michalewicz_2d,2,Random,30,-1.800528130054298,-1.79509891087609,-1.792971042632362,0.006912290018819375,-1.7794626005579617,0.008332367467638465,0.0,nan,10000.0,0.0049794569333244
rastrigin_10d,10,CDA,30,24.03264101961682,41.51309199452092,43.27169144589127,11.043389244685649,71.84571144649371,43.27169144589127,0.0,nan,1022.4666666666667,0.0022965036999873217
rastrigin_10d,10,CDA (tuned),30,6.6550266481691125,16.92085334549735,16.453795927482012,5.108893890911253,29.911162881983813,16.453795927482012,0.0,nan,30000.0,0.037062539966670256
rastrigin_10d,10,DE,30,5.370195953301305,20.33546644571866,20.07893249952237,4.4916776067591675,26.243902633115738,20.07893249952237,0.0,nan,30000.0,0.042381003833331
rastrigin_10d,10,GA,30,0.00015959135070886532,0.003685547368696973,0.010276040484360276,0.014390547141430699,0.05151160306584757,0.010276040484360276,0.0,nan,30000.0,0.04052509459991901
rastrigin_10d,10,PSO,30,1.9899181141865796,4.477313238013572,4.410984145550144,1.7852613330098401,8.954626476020564,4.410984145550144,0.0,nan,30000.0,0.024129831199904098
rastrigin_10d,10,Random,30,46.69848137971097,63.354221947176526,62.97786742742289,7.303019353336273,79.19393600991164,62.97786742742289,0.0,nan,30000.0,0.016590976699959962
