problem,reference,other,median_reference,median_other,u_statistic,p_value,verdict
sphere_2d,CDA (paper),CDA (budgeted),2.6929703520194392e-09,3.049404345773916e-05,0.0,3.019859359162157e-11,CDA (paper) better
sphere_2d,CDA (paper),DE,2.6929703520194392e-09,0.0,900.0,1.2117803970059759e-12,DE better
sphere_2d,CDA (paper),GA,2.6929703520194392e-09,0.0,840.0,4.411388926509873e-09,GA better
sphere_2d,CDA (paper),PSO,2.6929703520194392e-09,1.2409317703291292e-21,900.0,3.019859359162157e-11,PSO better
sphere_2d,CDA (paper),Random,2.6929703520194392e-09,0.0032228480299441916,0.0,3.019859359162157e-11,CDA (paper) better
sphere_30d,CDA (paper),CDA (budgeted),2.9062219122258774,0.11650208020775497,900.0,3.019859359162157e-11,CDA (budgeted) better
sphere_30d,CDA (paper),DE,2.9062219122258774,7.065981487202653e-18,900.0,3.019859359162157e-11,DE better
sphere_30d,CDA (paper),GA,2.9062219122258774,1.54968802967117e-05,900.0,3.019859359162157e-11,GA better
sphere_30d,CDA (paper),PSO,2.9062219122258774,1.3847538112504806e-24,870.0,5.572653248454238e-10,PSO better
sphere_30d,CDA (paper),Random,2.9062219122258774,102.26319428103363,0.0,3.019859359162157e-11,CDA (paper) better
step_10d,CDA (paper),CDA (budgeted),39.5,0.0,900.0,1.6833056477970457e-11,CDA (budgeted) better
step_10d,CDA (paper),DE,39.5,0.0,900.0,1.2068426515864109e-12,DE better
step_10d,CDA (paper),GA,39.5,0.0,900.0,1.2068426515864109e-12,GA better
step_10d,CDA (paper),PSO,39.5,0.0,900.0,1.2068426515864109e-12,PSO better
step_10d,CDA (paper),Random,39.5,4092.5,1.0,3.3259081148535236e-11,CDA (paper) better
step_30d,CDA (paper),CDA (budgeted),1296.0,110.0,900.0,3.0179667984904466e-11,CDA (budgeted) better
step_30d,CDA (paper),DE,1296.0,0.0,900.0,1.2107913587996517e-12,DE better
step_30d,CDA (paper),GA,1296.0,0.0,900.0,1.2107913587996517e-12,GA better
step_30d,CDA (paper),PSO,1296.0,1.0,874.0,2.7544087141544027e-10,PSO better
step_30d,CDA (paper),Random,1296.0,39151.5,1.0,3.334223847982939e-11,CDA (paper) better
zakharov_10d,CDA (paper),CDA (budgeted),26.691654691371074,0.021899365227017263,898.0,3.6897258539809896e-11,CDA (budgeted) better
zakharov_10d,CDA (paper),DE,26.691654691371074,1.0280485451614105e-16,900.0,3.019859359162157e-11,DE better
zakharov_10d,CDA (paper),GA,26.691654691371074,2.0574671045560042,892.0,6.69551896550012e-11,GA better
zakharov_10d,CDA (paper),PSO,26.691654691371074,5.67274404850613e-17,883.0,1.6132250444697864e-10,PSO better
zakharov_10d,CDA (paper),Random,26.691654691371074,38.827308085241185,274.0,0.009468269708615267,CDA (paper) better
ackley_10d,CDA (budgeted),CDA (paper),1.173796895549581,14.443423636830804,0.0,3.019859359162157e-11,CDA (budgeted) better
ackley_10d,CDA (budgeted),DE,1.173796895549581,4.213962512267244e-12,900.0,3.019859359162157e-11,DE better
ackley_10d,CDA (budgeted),GA,1.173796895549581,0.019758094803452142,890.0,8.152744512218774e-11,GA better
